topic,description,region,category,subcategory,source
Lepcha Hydropower,Traditional water-driven flour mills using bamboo pipelines.,Sikkim,Traditional Knowledge,Water Management,Anthropological Survey of India
Konyak Bamboo Bridge,Tribal suspension bridge construction using liana vines.,Nagaland,Architecture,Tribal Structure,Archaeological Survey of India
Kashmiri Khatamband,Geometric wood ceiling art using interlocking pieces without nails.,Kashmir,Architecture,Wood Craft,National Crafts Museum
Toda Funeral Architecture,Barrel-vaulted huts built for final rites using sacred grasses.,Tamil Nadu,Architecture,Tribal Structure,Archaeological Survey of India
Mishing Ali-Aye Ligang,Spring festival with traditional buffalo fights and seed sowing rites.,Assam,Festival,Spring Festival,Assam Tourism
Bhutia Pang Lhabsol,Mask dance honoring Mount Kanchenjunga as protective deity.,Sikkim,Performing Arts,Ritual Dance,Sikkim Tourism
Konyak Headhunter Tattoo,Facial tattoos marking warrior status and tribal identity.,Nagaland,Art Form,Body Art,Anthropological Survey of India
Kashmiri Gushtaba,Traditional minced mutton balls in yogurt gravy - royal dish.,Kashmir,Cuisine,Regional Cuisine,Jammu & Kashmir Tourism
Toda Dairy Language,Secret vocabulary used exclusively during milking rituals.,Tamil Nadu,Language,Tribal Dialect,Sahitya Akademi
Mappila Oppana,Women's circle dance performed at weddings with clapping.,Kerala,Performing Arts,Folk Dance,Kerala Tourism Department
Santhal Baha Bonga,Sacred grove preservation ritual with night-long dances.,Jharkhand,Ritual,Environmental Ritual,Anthropological Survey of India
Karbi Bamboo Death Mask,Ceremonial masks representing ancestral spirits.,Assam,Art Form,Ritual Craft,National Crafts Museum
Lepcha Looyi,Traditional rain dance performed during drought seasons.,Sikkim,Ritual,Weather Ritual,Sikkim Tourism
Konyak Bamboo Calendar,Tribal timekeeping system using bamboo notches.,Nagaland,Knowledge System,Tribal Chronometry,Sahitya Akademi
Kashmiri Harissa,Winter meat porridge slow-cooked for 24 hours in sealed pots.,Kashmir,Cuisine,Seasonal Cuisine,Jammu & Kashmir Tourism
Toda Moon Calendar,Lunar-based agricultural and ritual scheduling system.,Tamil Nadu,Knowledge System,Tribal Astronomy,Sahitya Akademi
Mappila Ara,Palm sugar production using traditional tapping techniques.,Kerala,Traditional Knowledge,Agricultural Practice,Kerala Tourism
Santhal Jogor,Acrobatic dance performed on wooden stilts during festivals.,Jharkhand,Performing Arts,Tribal Dance,Jharkhand Tourism
Nyishi Ngunu Ceremony,Ritual pig sacrifice ceremony of Arunachal Pradesh's Nyishi tribe to appease forest spirits during agricultural cycles.,Arunachal Pradesh,Ritual,Agricultural Ritual,Anthropological Survey of India
Mishmi Taapu Weaving,Traditional backstrap loom technique creating geometric patterns symbolizing tribal myths on cotton textiles.,Arunachal Pradesh,Art Form,Tribal Craft,National Crafts Museum
Garo Wangala Drum Making,Crafting of 100-day drums from hollowed jackfruit wood and animal hide for harvest festival performances.,Meghalaya,Art Form,Musical Instrument,North East Zone Cultural Centre
Apatani Paddy-Cum-Fish Culture,Integrated farming system cultivating rice and fish simultaneously in flooded terraces.,Arunachal Pradesh,Traditional Knowledge,Agricultural Practice,Anthropological Survey of India
Khasi Nongkrem Sword Dance,Ritual dance with silver swords performed by men to honor the tribal goddess Ka Blei Synshar.,Meghalaya,Performing Arts,Ritual Dance,North East Zone Cultural Centre
Bodo Kherai Puja,Week-long animist festival featuring 12 dance forms to worship Bathou (supreme deity) through bamboo altar rituals.,Assam,Festival,Tribal Festival,Assam Tourism Development Corporation
Adi Ponung Dance,Women's circle dance performed during solstice festivals with bamboo sticks and symbolic seed-sowing gestures.,Arunachal Pradesh,Performing Arts,Tribal Dance,North East Zone Cultural Centre
Zeliang Wood Carving,Sacred totem pole carving tradition depicting ancestral spirits and tribal cosmology.,Nagaland,Art Form,Ritual Craft,National Crafts Museum
