input ,output,instruction,prompt
:question: What are the popular dishes in Kolkata?,"Luchi, Alur Dum, Rosogolla, Mishti Doi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: Belur Math, Mother's House. Day 3: St. Paul's Cathedral, Indian Museum. Day 4: Eden Gardens, Salt Lake City Centre. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Qorma.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Mecca Masjid. Day 2: Chowmahalla Palace, Golkonda Fort. Day 3: Salar Jung Museum, Nehru Zoological Park. Day 4: Hussain Sagar Lake, Lumbini Park. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Pune?,"Misal Pav, Vada Pav, Saoji, Modak.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Shaniwar Wada, Aga Khan Palace. Day 2: Raja Dinkar Kelkar Museum, Sinhagad Fort. Day 3: Osho Commune International, Saras Baug Temple. Day 4: Empress Garden, Parvati Hill. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Jaipur?,"Gatte ki Sabzi, Dal Baati Churma, Lal Maas, Rajasthani Thali.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amer Fort, Jaigarh Fort. Day 3: Jantar Mantar, Nahargarh Fort. Day 4: Galtaji Temple, Dera Amer. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Cochin?,"Appam, Idiyappam, Sadya, Porotta.","Answer the question truthfully, you are a travel expert.","List popular dishes from Cochin, India."
:question: Plan a 5-day itinerary for Cochin. ,"Day 1: Chinese Fishing Nets, Mattancherry Palace. Day 2: Fort Kochi, St. Francis Church. Day 3: Jewish Synagogue, Dutch Palace. Day 4: Willingdon Island, Indo-Portuguese Museum. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Cochin, India."
:question: What are the popular dishes in Bhopal?,"Bhopali Pulao, Bafla, Kebabs, Tandoori Chicken.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bhopal, India."
:question: Plan a 5-day itinerary for Bhopal. ,"Day 1: Bhojtal, Taj-ul-Masajid. Day 2: Van Vihar National Park, Rani Sagar Tank. Day 3: Sanchi Stupa, Udaygiri Caves. Day 4: Dhar, Hinglajgarh Fort. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhopal, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Vada, Sambar.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Mahabalipuram Shore Temple. Day 2: Kapaleeswarar Temple, San Thome Cathedral. Day 3: Chennai Museum, Kovalam Beach. Day 4: Mahabalipuram, Dakshina Chitra. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Kolkata?,"Luchi, Alur Dum, Rosogolla, Mishti Doi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: Belur Math, Mother's House. Day 3: St. Paul's Cathedral, Indian Museum. Day 4: Eden Gardens, Salt Lake City Centre. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Bangalore?,"Vade, Idli, Dosa, Rava Kesari.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bangalore, India."
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Cubbon Park, Lalbagh Botanical Garden. Day 2: Vidhana Soudha, Ulsoor Lake. Day 3: ISKCON Temple, Innovative Film City. Day 4: Bannerghatta National Park, Nandi Hills. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bangalore, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Qorma.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Delhi. ,"Day 1: Red Fort, Qutub Minar. Day 2: Humayun's Tomb, Lotus Temple. Day 3: India Gate, Rajpath. Day 4: Chandni Chowk, Jama Masjid. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Delhi, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Misal Pav, Pav Bhaji, Dhokla.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Bandra-Worli Sea Link. Day 3: Juhu Beach, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya. Day 4: Haji Ali Dargah, Colaba Causeway Market. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: Plan a 5-day itinerary for Agra. ,"Day 1: Taj Mahal, Agra Fort. Day 2: Fatehpur Sikri, Tomb of Itimad-ud-Daulah. Day 3: Mehtab Bagh, Jama Masjid. Day 4: Day of rest or local exploration. Day 5: Tomb of Akbar, Sikandra Fort.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Agra, India."
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Gatte Ki Sabzi, Pyaz Ki Kachori, Mirchi Vada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amer Fort, Jaigarh Fort. Day 3: Jantar Mantar, Nahargarh Fort. Day 4: Galtaji Temple, Dera Amer. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: Plan a 5-day itinerary for Goa. ,"Day 1: Fort Aguada, Sinquerim Beach. Day 2: Calangute Beach, Baga Beach. Day 3: Anjuna Beach, Chapora Fort. Day 4: Dudhsagar Waterfalls, Molangim. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Goa, India."
:question: What are the popular dishes in Varanasi?,"Lassi, Banarasi Laddoo, Kachori, Chaat.","Answer the question truthfully, you are a travel expert.","List popular dishes from Varanasi, India."
:question: Plan a 5-day itinerary for Varanasi. ,"Day 1: Kashi Vishwanath Temple, Dashashwamedh Ghat. Day 2: Sankat Mochan Temple, Manikarnika Ghat. Day 3: Assi Ghat, Tulsi Manas Temple. Day 4: Day of rest or local exploration. Day 5: Durga Temple, New Vishwanath Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Varanasi, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: Belur Math, Mother's House. Day 3: St. Paul's Cathedral, Indian Museum. Day 4: Eden Gardens, Salt Lake City Centre. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Vada, Sambar.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Mahabalipuram Shore Temple. Day 2: Kapaleeswarar Temple, San Thome Cathedral. Day 3: Chennai Museum, Kovalam Beach. Day 4: Mahabalipuram, Dakshina Chitra. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: Plan a 5-day itinerary for Bhopal. ,"Day 1: Bhojtal, Taj-ul-Masajid. Day 2: Van Vihar National Park, Rani Sagar Tank. Day 3: Sanchi Stupa, Udaygiri Caves. Day 4: Dhar, Hinglajgarh Fort. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhopal, India."
:question: Plan a 5-day itinerary for Bhubaneswar. ,"Day 1: Lingaraj Temple, Rajarani Temple. Day 2: Mukteswara Temple, Parasurameswar Temple. Day 3: Dhauli Peace Pagoda, Odisha State Museum. Day 4: Day of rest or local exploration. Day 5: Ratnagiri Jain Temple, Pipili Applique Work.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhubaneswar, India."
:question: Plan a 5-day itinerary for Amritsar. ,"Day 1: Golden Temple, Wagah Border. Day 2: Jallianwala Bagh, Maharaja Ranjit Singh Museum. Day 3: Hall of Fame, Durgiana Temple. Day 4: Day of rest or local exploration. Day 5: Tarn Taran Sahib, Baba Atal Rai Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Amritsar, India."
:question: What are the popular dishes in Thiruvananthapuram?,"Appam, Idiyappam, Sadya, Porotta.","Answer the question truthfully, you are a travel expert.","List popular dishes from Thiruvananthapuram, India."
:question: Plan a 5-day itinerary for Thiruvananthapuram. ,"Day 1: Padmanabhaswamy Temple, Napier Museum. Day 2: Kovalam Beach, Vellayani Lake. Day 3: Sabarimala Temple, Aruvippuram Temple. Day 4: Day of rest or local exploration. Day 5: Anchuthengu Fort, Vizhinjam Lighthouse.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Thiruvananthapuram, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amber Fort, Jaigarh Fort. Day 3: Jantar Mantar, Albert Hall Museum. Day 4: Day of rest or local exploration. Day 5: Nahargarh Fort, Sisodia Rani Ka Bagh.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Salar Jung Museum, Hussain Sagar. Day 3: Ramoji Film City, Nehru Zoological Park. Day 4: Day of rest or local exploration. Day 5: Golkonda Fort, Birla Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Pav Bhaji, Dhokla, Misal Pav.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Bandra-Worli Sea Link. Day 3: Chhatrapati Shivaji Terminus, Haji Ali Dargah. Day 4: Day of rest or local exploration. Day 5: Siddhivinayak Temple, Juhu Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Shaniwar Wada, Aga Khan Palace. Day 2: Raja Dinkar Kelkar Museum, Saras Baug. Day 3: Pataleshwar Cave Temple, Osho Ashram. Day 4: Day of rest or local exploration. Day 5: Sinhagad Fort, Khadakwasla Dam.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: Plan a 5-day itinerary for Surat. ,"Day 1: Dumas Beach, Adajan Jain Temple. Day 2: Vansada National Park, Ubharat Beach. Day 3: Temples Street, Sardar Patel Museum. Day 4: Day of rest or local exploration. Day 5: Hajira, Vedanth Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Surat, India."
:question: What are the popular dishes in Ahmedabad?,"Dhokla, Khandvi, Thepla, Undhiyu.","Answer the question truthfully, you are a travel expert.","List popular dishes from Ahmedabad, India."
:question: Plan a 5-day itinerary for Ahmedabad. ,"Day 1: Sabarmati Ashram, Adalaj Stepwell. Day 2: Auto World Vintage Car Museum, Calico Museum of Textiles. Day 3: Kankaria Lake, Sidi Saiyyed Mosque. Day 4: Day of rest or local exploration. Day 5: Akshardham Temple, Law Garden Night Market.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ahmedabad, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: Belur Math, Mother's House. Day 3: St. Paul's Cathedral, Indian Museum. Day 4: Eden Gardens, Salt Lake City Centre. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Mahabalipuram Shore Temple. Day 2: Kapaleeswarar Temple, San Thome Cathedral. Day 3: Chennai Museum, Kovalam Beach. Day 4: Mahabalipuram, Dakshina Chitra. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: Plan a 5-day itinerary for Varanasi. ,"Day 1: Kashi Vishwanath Temple, Dashashwamedh Ghat. Day 2: Sankat Mochan Temple, Manikarnika Ghat. Day 3: Assi Ghat, Tulsi Manas Temple. Day 4: Day of rest or local exploration. Day 5: Durga Temple, New Vishwanath Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Varanasi, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amber Fort, Jaigarh Fort. Day 3: Jantar Mantar, Albert Hall Museum. Day 4: Day of rest or local exploration. Day 5: Nahargarh Fort, Sisodia Rani Ka Bagh.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Salar Jung Museum, Hussain Sagar. Day 3: Ramoji Film City, Nehru Zoological Park. Day 4: Day of rest or local exploration. Day 5: Golkonda Fort, Birla Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Bandra-Worli Sea Link. Day 3: Chhatrapati Shivaji Terminus, Haji Ali Dargah. Day 4: Day of rest or local exploration. Day 5: Siddhivinayak Temple, Juhu Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Shaniwar Wada, Aga Khan Palace. Day 2: Raja Dinkar Kelkar Museum, Saras Baug. Day 3: Pataleshwar Cave Temple, Osho Ashram. Day 4: Day of rest or local exploration. Day 5: Sinhagad Fort, Khadakwasla Dam.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: Plan a 5-day itinerary for Surat. ,"Day 1: Dumas Beach, Adajan Jain Temple. Day 2: Vansada National Park, Ubharat Beach. Day 3: Temples Street, Sardar Patel Museum. Day 4: Day of rest or local exploration. Day 5: Hajira, Vedanth Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Surat, India."
:question: Plan a 5-day itinerary for Amritsar. ,"Day 1: Golden Temple, Jallianwala Bagh. Day 2: Wagah Border, Durgiana Temple. Day 3: Maharaja Ranjit Singh Museum, Ram Bagh. Day 4: Day of rest or local exploration. Day 5: Akal Takht, Baba Atal Rai.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Amritsar, India."
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Cubbon Park, Bangalore Palace. Day 2: Vidhana Soudha, Lalbagh Botanical Garden. Day 3: Ulsoor Lake, ISKCON Temple. Day 4: Day of rest or local exploration. Day 5: Nandi Hills, Bannerghatta National Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bangalore, India."
:question: Plan a 5-day itinerary for Bhopal. ,"Day 1: Taj-ul-Masjid, Moti Masjid. Day 2: Van Vihar National Park, Bharat Bhavan. Day 3: Shaukat Mahal, Laxminarayan Temple. Day 4: Day of rest or local exploration. Day 5: Raisen Fort, Tikarghat.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhopal, India."
:question: Plan a 5-day itinerary for Chandigarh. ,"Day 1: Rock Garden, Le Corbusier Centre. Day 2: Rose Garden, Sukhna Lake. Day 3: Pinjore Gardens, Morni Hills. Day 4: Day of rest or local exploration. Day 5: Nangal Dam, Timber Trail.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chandigarh, India."
:question: Plan a 5-day itinerary for Cochin. ,"Day 1: Fort Kochi, Mattancherry Palace. Day 2: Chinese Fishing Nets, Jewish Synagogue. Day 3: St. Francis Church, Indo-Portuguese Museum. Day 4: Day of rest or local exploration. Day 5: Vypeen Island, Bolgatty Palace.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Cochin, India."
:question: Plan a 5-day itinerary for Dehradun. ,"Day 1: Robber's Cave, Tapkeshwar Mahadev Temple. Day 2: Rajaji National Park, Tihri Dam. Day 3: Sahastradhara, Mindrolling Monastery. Day 4: Day of rest or local exploration. Day 5: Malsi Deer Park, Laxman Sidh Peeth.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Dehradun, India."
:question: Plan a 5-day itinerary for Gangtok. ,"Day 1: Rumtek Monastery, Hanuman Tok. Day 2: Tsomgo Lake, Baba Mandir. Day 3: MG Marg, Hanuman Tok. Day 4: Day of rest or local exploration. Day 5: Enchey Monastery, Phursang Monastery.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Gangtok, India."
:question: Plan a 5-day itinerary for Goa. ,"Day 1: Calangute Beach, Aguada Fort. Day 2: Anjuna Beach, Chapora Fort. Day 3: Baga Beach, Arambol Beach. Day 4: Day of rest or local exploration. Day 5: Dudhsagar Waterfalls, Colva Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Goa, India."
:question: Plan a 5-day itinerary for Guwahati. ,"Day 1: Kamakhya Temple, Umananda Temple. Day 2: Kaziranga National Park, Dispur. Day 3: Shillong Peak, Ward's Lake. Day 4: Day of rest or local exploration. Day 5: Hajo, Mawjai.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Guwahati, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Salar Jung Museum, Hussain Sagar. Day 3: Ramoji Film City, Nehru Zoological Park. Day 4: Day of rest or local exploration. Day 5: Golkonda Fort, Birla Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amber Fort, Jaigarh Fort. Day 3: Jantar Mantar, Albert Hall Museum. Day 4: Day of rest or local exploration. Day 5: Nahargarh Fort, Sisodia Rani Ka Bagh.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: Belur Math, Mother's House. Day 3: St. Paul's Cathedral, Indian Museum. Day 4: Eden Gardens, Salt Lake City Centre. Day 5: Day of rest or local exploration.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Bandra-Worli Sea Link. Day 3: Chhatrapati Shivaji Terminus, Haji Ali Dargah. Day 4: Day of rest or local exploration. Day 5: Siddhivinayak Temple, Juhu Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: Plan a 5-day itinerary for Nagpur. ,"Day 1: Deekshabhoomi, Tadoba-Andhari Tiger Reserve. Day 2: Ramtek Temple, Semadoh Dam. Day 3: Sitabardi Fort, Ambazari Lake. Day 4: Day of rest or local exploration. Day 5: Raman Science Centre, Zero Mile.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Nagpur, India."
:question: Plan a 5-day itinerary for Patna. ,"Day 1: Mahavir Mandir, Gandhi Maidan. Day 2: Patan Devi Temple, Rajgir. Day 3: Golghar, Sanjay Gandhi Jaivik Udyan. Day 4: Day of rest or local exploration. Day 5: Mahavir Mandir, Sanjay Gandhi Jaivik Udyan.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Patna, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Mahabalipuram. Day 2: Kapaleeshwarar Temple, Vivekananda House. Day 3: Guindy National Park, DakshinaChitra. Day 4: Day of rest or local exploration. Day 5: Kanchipuram Temples, Mahabalipuram Shore Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: Plan a 5-day itinerary for Cochin. ,"Day 1: Fort Kochi, Chinese Fishing Nets. Day 2: Mattancherry Palace, Jewish Synagogue. Day 3: Bolgatty Palace, Ernakulam Shiva Temple. Day 4: Day of rest or local exploration. Day 5: Cherai Beach, Willingdon Island.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Cochin, India."
:question: Plan a 5-day itinerary for Dehradun. ,"Day 1: Tapkeshwar Mahadev Temple, Robber's Cave. Day 2: Rajaji National Park, Triveni Ghat. Day 3: Sahasradhara, Malsi Deer Park. Day 4: Day of rest or local exploration. Day 5: Mindrolling Monastery, Tapovan.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Dehradun, India."
:question: Plan a 5-day itinerary for Dharamshala. ,"Day 1: Dal Lake, Dharamshala Cricket Stadium. Day 2: Tsuglagkhang Complex, Norbulingka Institute. Day 3: Mcleodganj, Triund Hill. Day 4: Day of rest or local exploration. Day 5: Bhagsu Waterfall, St. John in the Wilderness.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Dharamshala, India."
:question: Plan a 5-day itinerary for Delhi. ,"Day 1: Red Fort, India Gate. Day 2: Humayun's Tomb, Qutub Minar. Day 3: Lotus Temple, Akshardham Temple. Day 4: Day of rest or local exploration. Day 5: Rashtrapati Bhawan, Rajpath.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Delhi, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Chowmahalla Palace, Charminar. Day 2: Salar Jung Museum, Nehru Zoological Park. Day 3: Ramoji Film City, Hussain Sagar. Day 4: Day of rest or local exploration. Day 5: Golkonda Fort, Birla Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: Plan a 5-day itinerary for Indore. ,"Day 1: Lal Bagh Palace, Rajwada. Day 2: Pipliyapala Zoo, Kanch Mandir. Day 3: Ralamandal Wildlife Sanctuary, Bijasan Temple. Day 4: Day of rest or local exploration. Day 5: Hatsi Baug, Chhatris.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Indore, India."
:question: Plan a 5-day itinerary for Jaisalmer. ,"Day 1: Jaisalmer Fort, Patwon Ki Haveli. Day 2: Sam Sand Dunes, Jain Temples. Day 3: Gadisar Lake, Bada Bagh. Day 4: Day of rest or local exploration. Day 5: Salim Singh Ki Haveli, Tanot Mata Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaisalmer, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Indian Museum. Day 3: Belur Math, Mother's House. Day 4: Day of rest or local exploration. Day 5: Eden Gardens, Salt Lake City Centre.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: Plan a 5-day itinerary for Lucknow. ,"Day 1: Bara Imambara, Chhota Imambara. Day 2: Rumi Darwaza, Hazratganj. Day 3: Dilkusha Kothi, La Martiniere College. Day 4: Day of rest or local exploration. Day 5: Chhatar Manzil, Ambedkar Memorial Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Lucknow, India."
:question: Plan a 5-day itinerary for Ludhiana. ,"Day 1: Maharaja Ranjit Singh War Museum, Guru Nanak Dev Ji Museum. Day 2: Lodhi Fort, Pakhowal Fort. Day 3: Nehru Rose Garden, Bhagat Singh Museum. Day 4: Day of rest or local exploration. Day 5: Jallianwala Bagh, Kila Raipur.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ludhiana, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Elephanta Caves. Day 2: Marine Drive, Haji Ali Dargah. Day 3: Chhatrapati Shivaji Terminus, Juhu Beach. Day 4: Day of rest or local exploration. Day 5: Siddhivinayak Temple, Bandra-Worli Sea Link.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: Plan a 5-day itinerary for Nagpur. ,"Day 1: Deekshabhoomi, Semadoh Dam. Day 2: Tadoba-Andhari Tiger Reserve, Ramtek Temple. Day 3: Ambazari Lake, Sitabardi Fort. Day 4: Day of rest or local exploration. Day 5: Raman Science Centre, Zero Mile.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Nagpur, India."
:question: Plan a 5-day itinerary for Noida. ,"Day 1: Buddh International Circuit, Lotus Temple. Day 2: DLF Mall of India, Atta Market. Day 3: India Gate, Akshardham Temple. Day 4: Day of rest or local exploration. Day 5: Noida Sector 18 Market, Cyber Hub.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Noida, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Aga Khan Palace, Shaniwar Wada. Day 2: Sinhagad Fort, Karla Caves. Day 3: Raja Dinkar Kelkar Museum, Osho International Meditation Resort. Day 4: Day of rest or local exploration. Day 5: Pataleshwar Cave Temple, Rajiv Gandhi Zoological Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: Plan a 5-day itinerary for Cochin. ,"Day 1: Fort Kochi, St. Francis Church. Day 2: Mattancherry Palace, Jewish Synagogue. Day 3: Chinese Fishing Nets, Indo-Portuguese Museum. Day 4: Day of rest or local exploration. Day 5: Vypin Island, Cherai Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Cochin, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Nehru Zoological Park. Day 3: Salar Jung Museum, Hussain Sagar Lake. Day 4: Day of rest or local exploration. Day 5: Ramoji Film City, Birla Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: Plan a 5-day itinerary for Bhopal. ,"Day 1: Taj-ul-Masjid, Bhojpur Temple. Day 2: Van Vihar National Park, Upper Lake. Day 3: Rani Kamlapati Palace, Dagarwara. Day 4: Day of rest or local exploration. Day 5: Shaukat Mahal Palace, Tikamgarh Fort.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhopal, India."
:question: Plan a 5-day itinerary for Vizag (Visakhapatnam). ,"Day 1: Kailasagiri, Ramakrishna Beach. Day 2: Indira Gandhi Zoological Park, Mudasarlova. Day 3: Rushikonda Beach, Dolphin's Nose. Day 4: Day of rest or local exploration. Day 5: Borra Caves, Simhachalam Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Vizag (Visakhapatnam), India."
:question: Plan a 5-day itinerary for Thiruvananthapuram. ,"Day 1: Padmanabhapuram Palace, Kovalam Beach. Day 2: Sabarimala Temple, Vellayani Lake. Day 3: Shanghumukham Beach, Veli Tourist Village. Day 4: Day of rest or local exploration. Day 5: Napier Museum, Vizhinjam Rock Lighthouse.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Thiruvananthapuram, India."
